med,region,dfhs,ghs,sedhs,gcoll
1,alabama,253,258,0,0
1,arizona,265,0,0,0
1,arkansas,271,0,0,0
1,california,261,267,276,272
1,colorado,267,0,0,0
1,connecticut,0,0,0,0
1,delaware,269,0,0,0
1,district of columbia,0,0,0,0
1,florida,265,281,0,0
1,georgia,272,266,0,0
1,idaho,266,0,0,0
1,illinois,270,278,0,0
1,indiana,276,0,0,0
1,iowa,0,0,0,0
1,kansas,274,0,0,0
1,kentucky,262,267,0,0
1,louisiana,268,261,0,0
1,maine,0,0,0,0
1,maryland,267,0,0,0
1,massachusetts,276,0,0,0
1,michigan,261,0,0,0
1,minnesota,0,0,0,0
1,mississippi,264,258,0,0
1,missouri,267,0,0,0
1,montana,0,0,0,0
1,nebraska,268,0,0,0
1,nevada,269,267,0,0
1,new hampshire,0,0,0,0
1,new jersey,0,0,0,0
1,new mexico,266,261,0,0
1,new york,265,0,0,0
1,north carolina,273,273,0,0
1,north dakota,0,0,0,0
1,ohio,273,267,0,0
1,oklahoma,261,0,0,0
1,oregon,266,0,0,0
1,pennsylvania,272,0,0,0
1,rhode island,263,0,0,0
1,south carolina,264,0,0,0
1,south dakota,0,0,0,0
1,tennessee,262,267,0,0
1,texas,280,276,279,0
1,utah,259,0,0,0
1,vermont,0,0,0,0
1,virginia,270,0,0,0
1,washington,271,0,0,0
1,west virginia,256,262,0,0
1,wisconsin,268,0,0,0
1,wyoming,277,0,0,0
2,alabama,260,253,0,275
2,arizona,271,264,284,0
2,arkansas,269,268,279,285
2,california,265,269,280,283
2,colorado,0,277,0,289
2,connecticut,0,270,0,282
2,delaware,264,274,287,287
2,district of columbia,0,252,0,0
2,florida,269,268,287,287
2,georgia,267,267,283,280
2,idaho,0,275,293,290
2,illinois,275,272,286,285
2,indiana,0,280,292,286
2,iowa,0,276,0,288
2,kansas,277,279,285,294
2,kentucky,268,271,282,284
2,louisiana,268,269,274,274
2,maine,0,277,0,290
2,maryland,277,273,289,285
2,massachusetts,279,286,299,306
2,michigan,269,267,273,288
2,minnesota,0,277,0,0
2,mississippi,258,262,0,277
2,missouri,262,276,0,292
2,montana,0,281,290,294
2,nebraska,0,277,0,287
2,nevada,272,276,288,286
2,new hampshire,0,286,0,296
2,new jersey,0,279,0,295
2,new mexico,260,265,276,277
2,new york,263,270,0,283
2,north carolina,273,273,287,287
2,north dakota,0,277,286,290
2,ohio,271,282,290,294
2,oklahoma,0,266,283,0
2,oregon,270,272,0,295
2,pennsylvania,270,281,293,288
2,rhode island,267,276,0,285
2,south carolina,270,267,0,282
2,south dakota,0,277,289,281
2,tennessee,266,272,287,278
2,texas,277,281,296,293
2,utah,0,271,279,289
2,vermont,277,286,0,302
2,virginia,264,271,0,285
2,washington,0,280,0,292
2,west virginia,261,269,282,283
2,wisconsin,268,278,296,289
2,wyoming,273,278,290,285
3,alabama,0,277,277,285
3,arizona,0,284,291,292
3,arkansas,0,279,288,293
3,california,272,280,285,289
3,colorado,0,294,301,306
3,connecticut,0,287,280,288
3,delaware,0,282,284,295
3,district of columbia,0,270,277,0
3,florida,275,286,292,292
3,georgia,280,275,287,295
3,idaho,0,287,293,301
3,illinois,285,287,288,300
3,indiana,0,289,294,302
3,iowa,0,290,287,291
3,kansas,0,288,294,304
3,kentucky,269,282,285,291
3,louisiana,0,277,285,281
3,maine,0,284,291,300
3,maryland,0,289,291,302
3,massachusetts,0,300,304,310
3,michigan,0,282,282,288
3,minnesota,0,300,292,304
3,mississippi,0,278,284,288
3,missouri,0,292,294,291
3,montana,0,289,295,302
3,nebraska,0,288,291,300
3,nevada,0,293,295,295
3,new hampshire,0,295,297,300
3,new jersey,0,290,295,303
3,new mexico,0,282,281,291
3,new york,0,281,288,294
3,north carolina,0,291,292,301
3,north dakota,0,295,296,303
3,ohio,0,291,298,305
3,oklahoma,0,281,283,286
3,oregon,0,286,293,302
3,pennsylvania,0,291,295,306
3,rhode island,0,282,292,297
3,south carolina,0,280,282,295
3,south dakota,0,291,288,298
3,tennessee,0,282,288,290
3,texas,289,289,295,301
3,utah,0,283,291,299
3,vermont,0,296,300,304
3,virginia,0,284,288,295
3,washington,0,291,295,303
3,west virginia,0,277,285,288
3,wisconsin,0,289,293,301
3,wyoming,0,294,296,299
4,alabama,0,272,275,288
4,arizona,0,284,295,303
4,arkansas,0,279,289,295
4,california,280,277,286,301
4,colorado,0,292,300,310
4,connecticut,0,284,286,306
4,delaware,0,285,294,298
4,district of columbia,0,261,272,289
4,florida,281,284,293,296
4,georgia,272,277,292,297
4,idaho,0,283,301,301
4,illinois,0,286,291,305
4,indiana,0,287,306,307
4,iowa,0,285,297,302
4,kansas,0,292,302,305
4,kentucky,271,286,294,300
4,louisiana,0,272,286,286
4,maine,0,295,290,305
4,maryland,0,286,295,305
4,massachusetts,0,296,313,318
4,michigan,0,281,286,299
4,minnesota,0,292,303,311
4,mississippi,272,275,290,281
4,missouri,0,284,290,300
4,montana,0,290,295,303
4,nebraska,0,285,298,300
4,nevada,0,283,288,298
4,new hampshire,0,295,303,311
4,new jersey,0,290,304,313
4,new mexico,268,279,288,295
4,new york,0,284,291,300
4,north carolina,281,291,291,305
4,north dakota,0,291,300,302
4,ohio,0,294,300,308
4,oklahoma,0,278,289,291
4,oregon,0,286,293,306
4,pennsylvania,0,292,298,306
4,rhode island,0,286,295,305
4,south carolina,0,283,283,300
4,south dakota,0,293,295,303
4,tennessee,0,284,288,295
4,texas,277,292,294,306
4,utah,0,289,293,302
4,vermont,0,290,304,313
4,virginia,0,281,292,309
4,washington,0,295,302,310
4,west virginia,0,277,285,293
4,wisconsin,0,284,302,306
4,wyoming,0,293,296,301
