State,County,FIPSCodes,Diabetes,LeisureInactivity,Obesity
Alabama,Autauga,01001,12.1,27.9,31.3
Alabama,Baldwin,01003,11.5,25.2,25
Alabama,Barbour,01005,14.8,32.3,38.4
Alabama,Bibb,01007,12.7,33.2,37.3
Alabama,Blount,01009,13.2,29.8,30.9
Alabama,Bullock,01011,17.6,32.8,43.2
Alabama,Butler,01013,16.1,37.3,38.4
Alabama,Calhoun,01015,13.2,33.2,31.5
Alabama,Chambers,01017,15.7,35.3,39.7
Alabama,Cherokee,01019,13.7,29.8,30.3
Alabama,Chilton,01021,13.2,31.8,37
Alabama,Choctaw,01023,17.4,34.8,40.2
Alabama,Clarke,01025,15.2,31,35.2
Alabama,Clay,01027,14.9,37.6,37.4
Alabama,Cleburne,01029,12.8,34.1,30.4
Alabama,Coffee,01031,13,29.7,28.5
Alabama,Colbert,01033,14.9,31.9,33.9
Alabama,Conecuh,01035,18.5,35.4,39.1
Alabama,Coosa,01037,16.2,31.9,37.2
Alabama,Covington,01039,13.8,37.5,32.3
Alabama,Crenshaw,01041,15.9,32.3,37.1
Alabama,Cullman,01043,13.4,30.8,34.4
Alabama,Dale,01045,14.5,30.5,34.4
Alabama,Dallas,01047,16.4,33.2,41.7
Alabama,DeKalb,01049,13.6,29.4,32.1
Alabama,Elmore,01051,13.3,30.5,30.1
Alabama,Escambia,01053,13.4,37.4,38.3
Alabama,Etowah,01055,14.9,32.2,33.8
Alabama,Fayette,01057,17.6,30.6,36.3
Alabama,Franklin,01059,12.8,33.4,33.5
Alabama,Geneva,01061,13.4,31.3,34.5
Alabama,Greene,01063,18.8,32.9,48.1
Alabama,Hale,01065,14.9,34.6,36.2
Alabama,Henry,01067,14.7,29.8,34.1
Alabama,Houston,01069,13.5,30.1,32.9
Alabama,Jackson,01071,14.8,32.9,29
Alabama,Jefferson,01073,12.5,27.7,32.9
Alabama,Lamar,01075,15,35.5,32.8
Alabama,Lauderdale,01077,12.3,29.5,31.2
Alabama,Lawrence,01079,15.5,36.1,38.6
Alabama,Lee,01081,9.7,24.1,30
Alabama,Limestone,01083,11.7,31,33.4
Alabama,Lowndes,01085,21.6,32.1,43.7
Alabama,Macon,01087,17,32,41.7
Alabama,Madison,01089,11,24.6,30.6
Alabama,Marengo,01091,17.8,33.8,42.3
Alabama,Marion,01093,14.9,36.6,34.1
Alabama,Marshall,01095,13.8,32,33.9
Alabama,Mobile,01097,12.9,28.9,35.9
Alabama,Monroe,01099,16,33.9,36.3
Alabama,Montgomery,01101,14,28.1,34.6
Alabama,Morgan,01103,12.7,28.8,30.2
Alabama,Perry,01105,17.6,33.6,38.7
Alabama,Pickens,01107,16.3,31.7,40.1
Alabama,Pike,01109,14.9,29.4,35.3
Alabama,Randolph,01111,14.9,33.8,34.1
Alabama,Russell,01113,14,32.6,34.2
Alabama,StClair,01115,12.3,29.1,31.7
Alabama,Shelby,01117,8.5,22.2,31.5
Alabama,Sumter,01119,16.4,31.2,40.4
Alabama,Talladega,01121,13.2,36.7,38
Alabama,Tallapoosa,01123,14.1,30.8,35.6
Alabama,Tuscaloosa,01125,10.7,27.9,32.9
Alabama,Walker,01127,15,35.8,33.4
Alabama,Washington,01129,14.7,30.9,36.1
Alabama,Wilcox,01131,19.8,31.6,42.8
Alabama,Winston,01133,12.8,33.3,33.4
Arizona,Apache,02013,15.1,22.3,31.9
Arizona,Cochise,02016,9.6,21.4,23.6
Arizona,Coconino,02020,7.4,15.9,24
Arizona,Gila,02050,12.3,25.2,27.1
Arizona,Graham,02060,10.5,24.2,35
Arizona,Greenlee,02068,9.4,24.5,35.4
Arizona,LaPaz,02070,13.4,30.7,32
Arizona,Maricopa,02090,8.2,19.6,22.6
Arizona,Mohave,02100,11.6,30.7,26.6
Arizona,Navajo,02105,12.3,23.9,31.2
Arizona,Pima,02110,8.5,18.9,22.1
Arizona,Pinal,02122,11.6,23.6,30.2
Arizona,SantaCruz,02130,6.7,17.8,20.5
Arizona,Yavapai,02150,10.1,19.6,25.9
Arizona,Yuma,02164,10.2,25.1,31.2
Arkansas,Arkansas,02170,13.9,35.4,35.1
Arkansas,Ashley,02180,13.4,33.3,36.1
Arkansas,Baxter,02185,12.2,29.8,29.3
Arkansas,Benton,02188,9.4,24.6,27.2
Arkansas,Boone,02195,11.9,31,26.3
Arkansas,Bradley,02198,13.4,34.6,34.7
Arkansas,Calhoun,02201,12.7,35.2,35.2
Arkansas,Carroll,02220,11.3,29.5,33.5
Arkansas,Chicot,02230,16.3,35.9,38.5
Arkansas,Clark,02232,11.9,30.5,32.5
Arkansas,Clay,02240,11.7,36.4,31.7
Arkansas,Cleburne,02261,14.6,33.2,28
Arkansas,Cleveland,02270,14.2,30.2,35.4
Arkansas,Columbia,02275,13,31.3,37
Arkansas,Conway,02280,13.3,33.1,39.7
Arkansas,Craighead,02282,11.9,33.6,34
Arkansas,Crawford,02290,10.7,32.5,37.7
Arkansas,Crittenden,04001,15.5,33.6,38.2
Arkansas,Cross,04003,12.5,35.6,37.5
Arkansas,Dallas,04005,13.9,37.4,32.5
Arkansas,Desha,04007,14.6,33.9,36.5
