region,year2013,year2011,year2009,year2007
alabama,269,269,269,266
arizona,280,279,277,276
arkansas,278,279,276,274
california,276,273,270,270
colorado,290,292,287,286
connecticut,285,287,289,282
delaware,282,283,284,283
district of columbia,265,260,254,248
florida,281,278,279,277
georgia,281,278,274,269
idaho,286,287,287,284
illinois,285,283,282,280
indiana,288,285,287,285
iowa,285,285,284,285
kansas,290,290,289,290
kentucky,281,282,279,279
louisiana,273,273,272,272
maine,289,289,286,286
maryland,287,288,288,286
massachusetts,301,299,299,298
michigan,280,280,278,277
minnesota,295,295,294,292
mississippi,271,269,265,265
missouri,283,282,286,281
montana,289,293,292,287
nebraska,285,283,284,284
nevada,278,278,274,271
new hampshire,296,292,292,288
new jersey,296,294,293,289
new mexico,273,274,270,268
new york,282,280,283,280
north carolina,286,286,284,284
north dakota,291,292,293,292
ohio,290,289,286,285
oklahoma,276,279,276,275
oregon,284,283,285,284
pennsylvania,290,286,288,286
rhode island,284,283,278,275
south carolina,280,281,280,282
south dakota,287,291,291,288
tennessee,278,274,275,274
texas,288,290,287,286
utah,284,283,284,281
vermont,295,294,293,291
virginia,288,289,286,288
washington,290,288,289,285
west virginia,274,273,270,270
wisconsin,289,289,288,286
wyoming,288,288,286,287
