region,year2013,year2011,year2009,year2007
alabama,257,258,255,252
arizona,260,260,258,255
arkansas,262,259,258,258
california,262,255,253,251
colorado,271,271,266,266
connecticut,274,275,272,267
delaware,266,266,265,265
district of columbia,248,242,242,241
florida,266,262,264,260
georgia,265,262,260,259
idaho,270,268,265,265
illinois,267,266,265,263
indiana,267,265,266,264
iowa,269,265,265,267
kansas,267,267,267,267
kentucky,270,269,267,262
louisiana,257,255,253,253
maine,269,270,268,270
maryland,274,271,267,265
massachusetts,277,275,274,273
michigan,266,265,262,260
minnesota,271,270,270,268
mississippi,253,254,251,250
missouri,267,267,267,263
montana,272,273,270,271
nebraska,269,268,267,267
nevada,262,258,254,252
new hampshire,274,272,271,270
new jersey,276,275,273,270
new mexico,256,256,254,251
new york,266,266,264,264
north carolina,265,263,260,259
north dakota,268,269,269,268
ohio,269,268,269,268
oklahoma,262,260,259,260
oregon,268,264,265,266
pennsylvania,272,268,271,268
rhode island,267,265,260,258
south carolina,261,260,257,257
south dakota,268,269,270,270
tennessee,265,259,261,259
texas,264,261,260,261
utah,270,267,266,262
vermont,274,274,272,273
virginia,268,267,266,267
washington,272,268,267,265
west virginia,257,256,255,255
wisconsin,268,267,266,264
wyoming,271,270,268,266
